button,category,movie_name,card_title,price,sold_date
Sold Archive,posters,STAR WARS: THE EMPIRE STRIKES BACK (1980),Entertainment Memorabilia Live Auction 2017 Darth Vader Promotional Tour Helmet,"£73,200","Sold on 7 Sep, 2017"
Add to cart,posters,WHAT LIES BENEATH (2000),Japanese Promotional Poster,$45,
Add to cart,posters,"ODD JOB, THE (1978)",Original Vic Fair Poster Artwork,£495,
Sold Archive,posters,STAR WARS: RETURN OF THE JEDI (1983),"Poster Live Auction - Fall 2022 Lot #395 - Poster Live Auction - Mark Hamill, Harrison Ford, Carrie Fisher, Peter Mayhew, Kenny Baker and Anthony Daniels Autographed Full-colour Photograph","£5,625","Sold on 18 Aug, 2022"
Sold Archive,posters,STAR WARS: A NEW HOPE (1977),Entertainment Memorabilia Live Auction 2016 1978 Concert Poster,"£4,800","Sold on 19 Sep, 2016"
Sold Archive,posters,JAMES BOND: ON HER MAJESTY'S SECRET SERVICE (1969),"Cinema Poster Live Auction - Fall 2020 Carter-Jones Collection: Italian Two-Panel (4-Fogli) - Advance, 1969","£7,500","Sold on 21 Oct, 2020"
Add to cart,posters,28 DAYS LATER (2002),'Restricted Area' Warning Poster,£65,
Add to cart,posters,CONTINENTAL DIVIDE (1981),Proposed Poster Print,$445,
Sold Archive,posters,STAR WARS: THE EMPIRE STRIKES BACK (1980),Entertainment Memorabilia Live Auction 2018 UK Style A Quad,"£3,997","Sold on 31 Aug, 2018"
Add to cart,posters,HOWARD THE DUCK (1986),Style A - Mini One Sheet Poster,$95,
Add to cart,posters,WALT DISNEY (2011),Collection of Various Press Packs,£795,
Add to cart,posters,VARIOUS PRODUCTIONS,Collection of Robert Redford Japanese Programs,$195,
Sold Archive,posters,STAR WARS: THE COMPLETE SAGA (1976-0),Cinema Poster Live Auction June 2018 Three Olly Moss Posters (2010),"£4,305","Sold on 29 May, 2018"
Add to cart,posters,VARIOUS PRODUCTIONS,Bond 40th Anniversary Poster,£30,
Sold Archive,posters,STAR WARS: RETURN OF THE JEDI (1983),Entertainment Memorabilia Live Auction 2017 Mark Raats Hand-Painted 30th Anniversary Poster Artwork,"£10,370","Sold on 19 Sep, 2017"
Add to cart,posters,CHILDREN OF MEN (2006),Gas Attack Prop Poster,£45,
Add to cart,posters,"GOLD RUSH, THE (1925)","Six Sheet (81"" x 81""); Fine+ Folded",$295,
Sold Archive,posters,"FISTFUL OF DOLLARS, A (1964)","Cinema Poster Live Auction - Winter 2021 Lot #253 - Cinema Poster Live Auction - US Advance One-Sheet - Style B, 1967","£5,000","Sold on 29 Nov, 2021"
Sold Archive,posters,JAMES BOND: GOLDFINGER (1964),"Cinema Poster Live Auction - Fall 2019 UK Quad ""Style-A"" Poster, 1964","£5,937","Sold on 7 Oct, 2019"
Sold Archive,posters,SON OF FRANKENSTEIN (1939),"Poster Live Auction - Fall 2022 Lot #330 - Poster Live Auction - Post-War Japanese B2, circa 1946","£5,000","Sold on 24 Aug, 2022"
Sold Archive,posters,"BRIDES OF DRACULA, THE (1960)","Cinema Poster Live Auction - Winter 2021 UK Quad, 1960","£6,250","Sold on 18 Nov, 2021"
Sold Archive,posters,JAMES BOND: FROM RUSSIA WITH LOVE (1963),"Cinema Poster Live Auction - Spring 2021 UK Quad, 1963","£8,750","Sold on 23 Mar, 2021"
Add to cart,posters,STAR WARS: THE FORCE AWAKENS (2015),Framed Poster,£395,
Sold Archive,posters,STAR WARS: A NEW HOPE (1977),Entertainment Memorabilia Live Auction - Los Angeles - 2021 Greg Hildebrandt-Signed Proof Poster with Three Character Remarques,"$5,937","Sold on 1 Jun, 2021"
Add to cart,posters,INDIANA JONES AND THE LAST CRUSADE (1989),Dark Leather Patches - Diamond and Rectangle Set,$45,
Sold Archive,posters,HARRY POTTER AND THE SORCERER'S STONE (2001),Entertainment Memorabilia Live Auction 2018 Gerhard Hand-Drawn 2016 Dark Hall Mansion Poster Artwork and Signed Print,"£3,690","Sold on 31 Aug, 2018"
Sold Archive,posters,DREW STRUZAN,Online Collectible Posters Auction: US May 2023 Lot # 32 - Hand-Signed and Numbered Limited-Edition HC Prints (13) Printed on Deckled Edge Paper (Various); Mint,"$6,250","Sold on 19 Apr, 2023"
Sold Archive,posters,PIRATES OF THE CARIBBEAN FRANCHISE (2003-2017),Entertainment Memorabilia Live Auction - London - 2020 Davy Jones Digital Animation Reference Bust and Production Ephemera,"£3,750","Sold on 19 Nov, 2020"
Add to cart,posters,CINEMA POSTER LIVE AUCTION,Cinema Poster Live Auction 2018 Catalogue,£20,
Add to cart,posters,ALIEN: COVENANT (2017),Limited Edition Medbay Sequence Giclee Print,£395,
Sold Archive,posters,JAMES BOND: YOU ONLY LIVE TWICE (1967),"Cinema Poster Live Auction - Spring 2020 Lot #115 - Cinema Poster Live Auction - Carter-Jones Collection: US Twenty-Four Sheet Poster, 1967","£5,625","Sold on 18 Mar, 2020"
Add to cart,posters,STAR WARS: PREQUEL TRILOGY (1999-2005),First Ten Years Gold Mylar One Sheet,$395,
Sold Archive,posters,STAR WARS: THE EMPIRE STRIKES BACK (1980),"Entertainment Memorabilia Live Auction 2015 Style ""A"" UK Quad Poster","£5,100","Sold on 22 Sep, 2015"
Sold Archive,posters,BATMAN (1989),"Entertainment Memorabilia Live Auction - London - 2021 Jack Nicholson-autographed Joker Photo and Jack Napier ""Wanted"" Poster","£4,062","Sold on 1 Nov, 2021"
Add to cart,posters,STAR WARS: RETURN OF THE JEDI (1983),Japanese Promotional Program,$145,
Add to cart,posters,APOCALYPSE NOW (1979),Advance One Sheet,$275,
Sold Archive,posters,"BEATLES, THE",Entertainment Memorabilia Live Auction - London - 2022 Lot # 467 - Set Of Five Richard Avedon Stern Magazine Posters,"£5,000","Sold on 4 Oct, 2022"
Sold Archive,posters,JAMES BOND: YOU ONLY LIVE TWICE (1967),"Cinema Poster Live Auction - Fall 2019 UK Quad Advance Poster, 1967","£3,750","Sold on 7 Oct, 2019"
Sold Archive,posters,JAMES BOND: DR. NO (1962),"March Poster Online Auction: London 2023 Lot #173 - Poster Live Auction - UK Quad, 1962","£17,500","Sold on 8 Feb, 2023"
Sold Archive,posters,HARRY POTTER AND THE SORCERER'S STONE (2001),Entertainment Memorabilia Live Auction - Los Angeles - 2021 Poster Photoshoot Nimbus 2000,"$6,875","Sold on 30 Jun, 2021"
Add to cart,posters,SMASHING THE VICE TRUST (1937),Two Piece Poster,"$1,195",
Add to cart,posters,STAR WARS: RETURN OF THE JEDI (1983),Lucasfilm Fan Club Pack,£295,
Sold Archive,posters,ROGUE ONE: A STAR WARS STORY (2016),Entertainment Memorabilia Live Auction 2018 Jyn Erso (Felicity Jones) Exhibition Costume Display,"£23,370","Sold on 31 Aug, 2018"
Sold Archive,posters,DOUBLE INDEMNITY (1944),"Online Collectible Posters Auction: US May 2023 Lot # 334 - One-Sheet (27"" x 41"") Autographed by Barbara Stanwyck; Fine+ on Linen","$5,312","Sold on 19 Apr, 2023"
Sold Archive,posters,STAR WARS: A NEW HOPE (1977),"Cinema Poster Live Auction - Winter 2021 Howard Kazanjian Collection: US One-Sheet - Happy Birthday Style, 1978","£5,000","Sold on 6 Dec, 2021"
Add to cart,posters,MARS ATTACKS! (1996),Promotional Postcards,$195,
Sold Archive,posters,LA BELLE ET LA BETE (1946),"Online Collectible Posters Auction: US May 2023 Lot # 560 - French Double Grande (62"" x 91""); Full-Bleed; Very Fine- on Linen","$17,500","Sold on 19 Apr, 2023"
Sold Archive,posters,E.T. THE EXTRA-TERRESTRIAL (1982),"Entertainment Memorabilia Live Auction: Los Angeles 2023 Lot #121 - Framed Steven Spielberg-Autographed ""Touching Fingers"" One-Sheet","$6,875","Sold on 30 May, 2023"
Sold Archive,posters,STAR WARS: A NEW HOPE (1977),"Entertainment Memorabilia Live Auction - Los Angeles - 2021 Special ""Chaykin"" Comic-Con One-Sheet","$5,312","Sold on 1 Jun, 2021"
Add to cart,posters,ENTERTAINMENT MEMORABILIA LIVE AUCTION - LOS ANGELES,LONDON: Los Angeles Live Auction Catalogue 2022,£40,
Add to cart,posters,TROY (2004),Cast and Crew Screening Ticket,£25,
Sold Archive,posters,BACK TO THE FUTURE (1985),"Entertainment Memorabilia Live Auction - Los Angeles 2022 Lot # 525 - Michael J. Fox, Christopher Lloyd, Tom F. Wilson, Lea Thompson and Drew Struzan-Autographed Australian Daybill Poster","$6,875","Sold on 24 May, 2022"
Sold Archive,posters,STAR WARS: THE EMPIRE STRIKES BACK (1980),Poster Live Auction - Fall 2022 Lot #362 - Poster Live Auction - Officially Licensed Mark Hamill and Harrison Ford Full-Colour Tauntaun Photographs,"£3,750","Sold on 6 Sep, 2022"
Add to cart,posters,28 DAYS LATER (2002),Public Warning Poster,£65,
Sold Archive,posters,STAR WARS: THE EMPIRE STRIKES BACK (1980),Entertainment Memorabilia Live Auction - London - 2021 Life-size Darth Vader Statue,"£5,625","Sold on 8 Nov, 2021"
Add to cart,posters,WATCHMEN (2009),Two Promotional Shirts,$95,
Sold Archive,posters,2001: A SPACE ODYSSEY (1968),"Online Collectible Posters Auction: US May 2023 Lot # 156 - One-Sheet (27"" x 41""); Psychedelic Eye, Wilding Style; Very Fine+ Folded","$9,375","Sold on 19 Apr, 2023"
Sold Archive,posters,CARRY ON SPYING (1964),Cinema Poster Live Auction June 2018 UK 1-Sheet Poster Artwork (1964),"£3,690","Sold on 3 Jun, 2018"
Add to cart,posters,VARIOUS PRODUCTIONS,Set of Disney Animated Features Programs,$75,
Sold Archive,posters,STAR WARS: A NEW HOPE (1977),"Cinema Poster Live Auction - Winter 2021 Charles Lippincott Collection: Indian One-Sheet - Style C, 1977","£7,500","Sold on 29 Nov, 2021"
Add to cart,posters,LAND OF THE BLIND (2006),Recruitment Posters,£95,
Sold Archive,posters,JAMES BOND: FROM RUSSIA WITH LOVE (1963),"Cinema Poster Live Auction - Summer 2019 UK Quad Poster, 1963","£11,250","Sold on 3 Jun, 2019"
Add to cart,posters,STAR WARS: A NEW HOPE (1977),Japanese Silk Screen Reproduction Poster,$395,
Sold Archive,posters,JAMES BOND: THUNDERBALL (1965),"Cinema Poster Live Auction - Fall 2019 UK Quad Advance Poster, 1965","£12,500","Sold on 7 Oct, 2019"
Add to cart,posters,KILL BILL: VOL. 2 (2004),Small Movie Poster,£45,
Sold Archive,posters,STAR WARS: A NEW HOPE (1977),"Online Collectible Posters Auction: US May 2023 Lot # 111 - One-Sheet (28.5"" x 41""); Style C, Printer's Proof with Ratings Box; Very Fine+ on Linen","$5,312","Sold on 19 Apr, 2023"
Sold Archive,posters,SON OF FRANKENSTEIN (1939),"Online Collectible Posters Auction: US May 2023 Lot # 46 - Midget Window Card (8"" x 11.5""); Fine+","$7,500","Sold on 19 Apr, 2023"
Add to cart,posters,STAR WARS: PREQUEL TRILOGY (1999-2005),Taco Bell Kids Meal Box Set,$75,
Sold Archive,posters,JAMES BOND: FROM RUSSIA WITH LOVE (1963),"Cinema Poster Live Auction - Fall 2020 Carter-Jones Collection: French Four-Panel Poster, 1963","£4,062","Sold on 28 Oct, 2020"
Sold Archive,posters,"GREEN HORNET, THE (1966-1967)",Entertainment Memorabilia Live Auction: Los Angeles 2023 Lot #90 - Bruce Lee-Autographed Promotional Photo,"$7,500","Sold on 30 May, 2023"
Sold Archive,posters,"COCOANUTS, THE (1929)","Online Collectible Posters Auction: US May 2023 Lot # 503 - Lobby Card (11"" x 14""); Very Fine-","$5,000","Sold on 19 Apr, 2023"
Add to cart,posters,JOURNEY TO TATAOUINE (2017),Autographed Mini Poster,$65,
Sold Archive,posters,FORBIDDEN PLANET (1956),"Cinema Poster Live Auction - Winter 2021 UK Quad, 1956","£10,000","Sold on 25 Nov, 2021"
Add to cart,posters,OCTOBER 16 2014 LIVE AUCTION (2014),London Catalogue - Live Auction of Film & Television Artefacts,£25,
Sold Archive,posters,STAR WARS: VARIOUS PRODUCTIONS,"Entertainment Memorabilia Live Auction: London 2023 Lot #788 - Anthony Daniels Collection: 1:100 C-3P0 ANA Model Jet, 1:200 R2-D2 and C-3PO ANA Model Jets, and Promotional Launch Ephemera","£4,062","Sold on 10 Oct, 2023"
Add to cart,posters,"ICE FOLLIES OF 1939, THE (1939)","One-Sheet (27"" x 41""); Fine+ on Linen",$595,
Add to cart,posters,POLTERGEIST II: THE OTHER SIDE (1986),French Subway Poster,$75,
Add to cart,posters,"MEXICAN, THE (2001)",Promotional Bag,£15,
Sold Archive,posters,STAR WARS: THE EMPIRE STRIKES BACK (1980),Entertainment Memorabilia Live Auction: London 2023 Lot #1641 - Master Replicas Signature Edition Millennium Falcon,"£13,750","Sold on 30 Oct, 2023"
Add to cart,posters,STAR WARS: RETURN OF THE JEDI (1983),Re-Release Press Kit,$245,
Sold Archive,posters,GODZILLA (1954),"Cinema Poster Live Auction - Spring 2021 Bryan Fuller Collection: US Three-Sheet, 1956","£3,750","Sold on 19 Apr, 2021"
Add to cart,posters,ENTERTAINMENT MEMORABILIA LIVE AUCTION - LONDON,LONDON 2017 Live Auction Catalogue,£40,
Sold Archive,posters,M (1931),"Online Collectible Posters Auction: US May 2023 Lot # 365 - Pre-War German (37.5"" x 56""); Very Fine on Linen","$28,125","Sold on 19 Apr, 2023"
Sold Archive,posters,STAR WARS: A NEW HOPE (1977),Entertainment Memorabilia Live Auction 2016 Howard Chaykin First Edition Poster,"£3,900","Sold on 31 Aug, 2016"
Sold Archive,posters,JAMES BOND: DR. NO (1962),"Poster Live Auction - Fall 2022 Lot #146 - Poster Live Auction - UK Quad, 1962","£6,875","Sold on 1 Sep, 2022"
Add to cart,posters,ROGUE ONE: A STAR WARS STORY (2016),Bodhi Rook (Riz Ahmed) Exhibition Costume Display,"£12,995",
Add to cart,posters,STAR WARS: REVENGE OF THE SITH (2005),Crew Gift Poster,£295,
Sold Archive,posters,FLASH GORDON (1980),Poster Concept Sketch,"$4,995","Sold on 28 Oct, 2016"
Sold Archive,posters,JAMES BOND: GOLDFINGER (1964),"Poster Live Auction - Fall 2022 Lot #157 - Poster Live Auction - UK Quad - Style A, 1964","£5,000","Sold on 16 Aug, 2022"
Sold Archive,posters,BATTLESTAR GALACTICA THEME PARK ATTRACTION,Entertainment Memorabilia Live Auction - Los Angeles - 2020 Full-Size Cylon Animatronic Figure,"$5,625","Sold on 26 Aug, 2020"
Add to cart,posters,VARIOUS PRODUCTIONS,Three Screening Invitations,$95,
Add to cart,posters,STAR WARS: THE COMPLETE SAGA (1976-0),Large Triennale Di Milano Poster - Star Wars the Show,$95,
Sold Archive,posters,JAMES BOND: FROM RUSSIA WITH LOVE (1963),"Cinema Poster Live Auction - Spring 2020 Lot #139 - Cinema Poster Live Auction - French Four-Panel Poster, 1963","£5,937","Sold on 30 Mar, 2020"
Sold Archive,posters,JAMES BOND: GOLDFINGER (1964),"Cinema Poster Live Auction - Fall 2019 Linen-backed US Six-Sheet Poster, 1964","£5,000","Sold on 7 Oct, 2019"
Add to cart,posters,FALLOUT 3 (2008),T-45 Power Armour 1:1 Promotional Statue,"£3,495",
Add to cart,posters,TUCKER: THE MAN AND HIS DREAM (1988),Japanese Press Kit,$145,
Add to cart,posters,STAR TREK: THE ORIGINAL SERIES (1966-1969),Season One Trading Card Set Binder,"£3,495",
Sold Archive,posters,ONCE UPON A TIME IN HOLLYWOOD (2019),Entertainment Memorabilia Live Auction - Los Angeles - 2020 Set of Four Promotional Rick Dalton (Leonardo DiCaprio) Posters,"$6,875","Sold on 26 Aug, 2020"
Sold Archive,posters,BULLITT (1968),"Poster Live Auction - Fall 2022 Lot #49 - Poster Live Auction - Italian Two-Panel (4-Fogli), 1968","£3,750","Sold on 6 Sep, 2022"
Sold Archive,posters,JAMES BOND: DR. NO (1962),"Cinema Poster Live Auction - Fall 2019 UK Quad Poster, 1962","£11,250","Sold on 7 Oct, 2019"
Sold Archive,posters,BLADE RUNNER (1982),Entertainment Memorabilia Live Auction: London 2023 Lot #952 - Geoff Hutchins Collection: Set of 14 Cast Photographs and Autographs,"£5,000","Sold on 13 Oct, 2023"
Add to cart,posters,UNKNOWN PRODUCTION,Western Film Festival Belt Buckle,$75,
Sold Archive,posters,STAR TREK III: THE SEARCH FOR SPOCK (1984),Entertainment Memorabilia Live Auction - Los Angeles - 2020 Hand-Painted Bob Peak Poster Concept Illustration,"$28,125","Sold on 26 Aug, 2020"
Sold Archive,posters,STAR WARS: THE EMPIRE STRIKES BACK (1980),Entertainment Memorabilia Live Auction - Los Angeles - 2021 Darth Vader Touring Helmet,"$75,000","Sold on 14 Jun, 2021"
Sold Archive,posters,ROSITA (1923),"Online Collectible Posters Auction: US May 2023 Lot # 404 - Three Sheet (41"" x 79""); Fine Folded","$7,500","Sold on 19 Apr, 2023"
Add to cart,posters,MISSION: IMPOSSIBLE 2 (2000),Japanese Souvenir Program,$45,
Sold Archive,posters,BACK TO THE FUTURE (1985),Entertainment Memorabilia Live Auction - London - 2020 Mayor Goldie Wilson (Donald Fullilove) Campaign Poster,"£5,000","Sold on 19 Nov, 2020"
Sold Archive,posters,JAMES BOND: GOLDFINGER (1964),"Cinema Poster Live Auction - Fall 2019 US Subway Poster, 1964","£8,125","Sold on 7 Oct, 2019"
Add to cart,posters,"DARK KNIGHT, THE (2008)",Joker Card - Clown Troupe,£295,
Add to cart,posters,COLONY (2016-2018),S1 Multiple Episodes: Oversized Alan Snyder Strength Poster,$145,
Add to cart,posters,VARIOUS PRODUCTIONS,Collection of Various Crew Items,£595,
Sold Archive,posters,STAR WARS: A NEW HOPE (1977),"Cinema Poster Live Auction - Summer 2019 US One-Sheet ""Style-A Printer's Proof"" Poster, 1977","£5,000","Sold on 24 Jun, 2019"
Sold Archive,posters,BREAKFAST AT TIFFANY'S (1961),"March Poster Online Auction: London 2023 Lot #72 - Poster Live Auction - US One-Sheet, 1961","£6,250","Sold on 14 Feb, 2023"
Add to cart,posters,STAR WARS: RETURN OF THE JEDI (1983),Two Star Wars Promotional Buttons,$150,
Sold Archive,posters,KAGEMUSHA (1980),Entertainment Memorabilia Live Auction - Los Angeles - 2021 Akira Kurosawa-Signed Poster,"$7,500","Sold on 1 Jun, 2021"
Add to cart,posters,BRUCE LEE,"Extensive Magazine, Book and Ephemera Archive",£695,
Sold Archive,posters,STAR WARS: A NEW HOPE (1977),"Online Collectible Posters Auction: US May 2023 Lot # 109 - 24 Sheet (Billboard) (104"" x 232""); Very Fine Flat Folded","$28,125","Sold on 19 Apr, 2023"
Sold Archive,posters,SPIDER-MAN 3 (2007),Entertainment Memorabilia Live Auction - London - 2019 Cast-Autographed Poster,"£4,920","Sold on 11 Sep, 2019"
Add to cart,posters,POINT BLANK (1967),"One-Sheet (27"" x 41""); Fine+ Folded",$195,
Add to cart,posters,STAR WARS: THE COMPLETE SAGA (1976-0),10 Year Anniversary Convention Pin,$15,
Sold Archive,posters,STAR WARS: THE EMPIRE STRIKES BACK (1980),Entertainment Memorabilia Live Auction - London - 2019 Hand-drawn Tom Jung Poster Concept Sketch,"£7,380","Sold on 1 Oct, 2019"
Add to cart,posters,STAR WARS: PREQUEL TRILOGY (1999-2005),"Wide ""The First 10 Years"" Poster",$225,
Sold Archive,posters,STAR WARS: A NEW HOPE (1977),"Online Collectible Posters Auction: US May 2023 Lot # 112 - One-Sheet (28.5"" x 41""); Style A, Printer's Proof, First Printing; Very Fine on Linen","$5,000","Sold on 19 Apr, 2023"
Sold Archive,posters,ABBOTT AND COSTELLO MEET FRANKENSTEIN (1948),"Online Collectible Posters Auction: US May 2023 Lot # 50 - Insert (14"" x 36""); Fine+ Rolled","$8,750","Sold on 19 Apr, 2023"
Sold Archive,posters,"SIMPSONS MOVIE, THE (2007)",Entertainment Memorabilia Live Auction - London - 2022 Lot # 1262 - Life-size Promotional Theatre Display of The Simpsons,"£8,750","Sold on 4 Oct, 2022"
Sold Archive,posters,JAMES BOND: FROM RUSSIA WITH LOVE (1963),Cinema Poster Live Auction - November 2018 JAMES BOND: FROM RUSSIA WITH LOVE (1963) - UK Quad Poster,,
Sold Archive,posters,GODZILLA (1998),"Poster Live Auction - Fall 2022 Lot #111 - Poster Live Auction - UK Quad, 1956 (First Release)","£6,250","Sold on 12 Sep, 2022"
Sold Archive,posters,JAMES BOND: GOLDFINGER (1964),"Online Collectible Posters Auction: US May 2023 Lot # 469 - British Quad (30"" x 40""); Style A; Very Fine on Linen, Full Bleed","$5,625","Sold on 19 Apr, 2023"
Sold Archive,posters,JAMES BOND: GOLDFINGER (1964),"Online Collectible Posters Auction: US May 2023 Lot # 470 - Six Sheet (78"" x 79""); Fine Folded","$5,000","Sold on 19 Apr, 2023"
